,Unnamed: 0,name,x1,x2,y1,y2,classname,newFilename
2424,2435,3934.png,370,84,430,155,face_with_mask,3703934.png
187,187,2812.png,293,51,442,263,face_with_mask_incorrect,2932812.png
5098,26,00029_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00029_Mask_Chin.jpg
1540,1546,3138.png,302,0,402,82,face_with_mask,3023138.png
2293,2304,5151.jpg,536,36,583,94,face_with_mask,5365151.jpg
4741,4758,3213.png,166,53,279,206,face_no_mask,1663213.png
3486,3501,4868.png,120,180,228,309,face_with_mask,1204868.png
2379,2390,6116.jpg,650,235,783,413,face_no_mask,6506116.jpg
2717,2728,1940.jpg,913,231,1115,494,face_no_mask,9131940.jpg
5095,23,00025_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00025_Mask_Mouth_Chin.jpg
6595,1523,01625_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01625_Mask_Mouth_Chin.jpg
6113,1041,01122_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01122_Mask_Mouth_Chin.jpg
604,606,2051.jpg,447,20,511,101,face_with_mask,4472051.jpg
4079,4095,4395.png,29,5,422,582,face_with_mask,294395.png
2690,2701,6228.jpg,122,151,212,275,face_no_mask,1226228.jpg
277,277,3934.png,592,103,653,182,face_with_mask,5923934.png
212,212,4048.png,277,99,563,448,face_with_mask,2774048.png
4245,4261,2662.png,63,4,384,458,face_with_mask,632662.png
6778,1706,01818_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01818_Mask_Mouth_Chin.jpg
4735,4752,4397.png,334,8,901,541,face_with_mask,3344397.png
2087,2098,4736.png,686,135,781,241,face_with_mask,6864736.png
6062,990,01067_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01067_Mask_Mouth_Chin.jpg
5524,452,00499_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00499_Mask_Mouth_Chin.jpg
6389,1317,01414_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01414_Mask_Mouth_Chin.jpg
1213,1218,5459.jpeg,96,97,505,623,face_no_mask,965459.jpeg
3288,3301,3293.png,812,3,982,169,face_with_mask,8123293.png
4086,4102,6386.jpg,318,42,457,249,face_no_mask,3186386.jpg
5495,423,00469_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00469_Mask_Mouth_Chin.jpg
942,947,3981.png,572,290,616,345,face_with_mask,5723981.png
948,953,6103.jpg,449,133,578,257,face_no_mask,4496103.jpg
6521,1449,01550_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01550_Mask_Mouth_Chin.jpg
916,921,3994.png,267,2,668,402,face_with_mask,2673994.png
4839,4856,5398.jpg,681,300,772,433,face_other_covering,6815398.jpg
6398,1326,01424_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01424_Mask_Chin.jpg
6068,996,01073_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01073_Mask_Mouth_Chin.jpg
6359,1287,01379_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,01379_Mask_Nose_Mouth.jpg
5526,454,00501_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00501_Mask_Mouth_Chin.jpg
4984,5001,3331.png,111,5,628,622,face_with_mask,1113331.png
1449,1455,2180.png,5,245,64,310,face_with_mask,52180.png
6528,1456,01557_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01557_Mask_Mouth_Chin.jpg
533,535,5525.jpg,49,58,191,247,face_no_mask,495525.jpg
3881,3897,4470.png,84,92,150,190,face_other_covering,844470.png
3044,3056,6191.jpg,317,10,543,303,face_no_mask,3176191.jpg
5511,439,00486_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00486_Mask_Nose_Mouth.jpg
6392,1320,01417_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01417_Mask_Mouth_Chin.jpg
5462,390,00434_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00434_Mask_Mouth_Chin.jpg
555,557,1915.png,149,78,428,463,face_with_mask,1491915.png
2538,2549,3619.png,50,1,675,613,face_with_mask,503619.png
1179,1184,1810.jpg,773,228,863,338,face_with_mask,7731810.jpg
2501,2512,5641.jpg,108,45,395,409,face_other_covering,1085641.jpg
4460,4476,2414.png,166,54,538,562,face_other_covering,1662414.png
5256,184,00206_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00206_Mask_Mouth_Chin.jpg
1511,1517,2915.png,612,271,648,313,face_with_mask,6122915.png
1249,1254,5820.jpg,124,41,257,189,face_no_mask,1245820.jpg
1287,1292,3856.png,466,68,627,233,face_with_mask,4663856.png
2640,2651,2326.png,402,40,708,449,face_with_mask,4022326.png
6734,1662,01773_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01773_Mask_Mouth_Chin.jpg
6866,1794,01908_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01908_Mask_Mouth_Chin.jpg
3667,3683,6068.jpg,641,123,683,193,face_other_covering,6416068.jpg
3838,3854,4696.png,447,61,529,174,face_with_mask,4474696.png
5561,489,00536_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00536_Mask_Nose_Mouth.jpg
6186,1114,01201_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01201_Mask_Mouth_Chin.jpg
2719,2730,3353.png,297,49,373,157,face_with_mask,2973353.png
968,973,2181.png,302,40,494,284,face_with_mask,3022181.png
6131,1059,01140_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01140_Mask_Mouth_Chin.jpg
2641,2652,5883.jpg,232,5,901,904,face_no_mask,2325883.jpg
4399,4415,2349.png,303,99,497,341,face_other_covering,3032349.png
4687,4704,2499.png,334,103,417,184,face_no_mask,3342499.png
6929,1857,01974_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01974_Mask_Mouth_Chin.jpg
506,508,4499.png,245,90,283,130,face_no_mask,2454499.png
3312,3325,4669.png,112,33,257,193,face_other_covering,1124669.png
1612,1619,2802.png,206,110,325,272,face_with_mask,2062802.png
2859,2870,2016.jpg,296,346,542,641,face_with_mask,2962016.jpg
2479,2490,4447.png,136,84,281,241,face_with_mask,1364447.png
518,520,4728.png,1,151,68,239,face_with_mask,14728.png
5890,818,00883_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00883_Mask_Nose_Mouth.jpg
2848,2859,4418.png,152,104,348,364,face_with_mask,1524418.png
2256,2267,2596.png,315,47,433,194,face_with_mask,3152596.png
1869,1878,3599.png,81,0,467,344,face_other_covering,813599.png
6745,1673,01784_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01784_Mask_Mouth_Chin.jpg
753,758,2402.png,269,5,473,273,face_other_covering,2692402.png
1205,1210,2822.png,124,52,298,282,face_other_covering,1242822.png
1890,1899,4003.png,230,71,391,247,face_other_covering,2304003.png
3968,3984,2357.png,193,58,438,344,face_with_mask,1932357.png
5145,73,00084_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00084_Mask_Mouth_Chin.jpg
3580,3595,2527.png,283,9,584,366,face_other_covering,2832527.png
3023,3035,3384.png,379,0,696,286,face_with_mask,3793384.png
4579,4595,6349.jpg,226,32,301,140,face_other_covering,2266349.jpg
5812,740,00802_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00802_Mask_Mouth_Chin.jpg
5198,126,00141_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00141_Mask_Mouth_Chin.jpg
2815,2826,3581.png,621,137,786,308,face_with_mask,6213581.png
1709,1716,5678.jpg,309,32,665,419,face_no_mask,3095678.jpg
6513,1441,01542_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01542_Mask_Mouth_Chin.jpg
5702,630,00685_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00685_Mask_Mouth_Chin.jpg
1496,1502,5279.jpg,506,197,587,288,face_other_covering,5065279.jpg
6446,1374,01473_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01473_Mask_Mouth_Chin.jpg
3373,3386,5034.jpg,501,124,537,172,face_with_mask,5015034.jpg
4148,4164,5630.jpg,473,4,723,358,face_no_mask,4735630.jpg
3035,3047,5544.jpg,269,268,436,501,face_no_mask,2695544.jpg
1672,1679,4199.png,142,5,314,198,face_with_mask,1424199.png
6177,1105,01192_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01192_Mask_Mouth_Chin.jpg
1757,1765,1916.jpg,541,20,607,107,face_with_mask,5411916.jpg
526,528,4356.png,348,33,437,134,face_with_mask,3484356.png
4336,4352,5010.jpg,294,199,327,241,face_no_mask,2945010.jpg
2558,2569,4490.png,122,5,636,608,face_with_mask,1224490.png
4724,4741,4723.png,563,66,601,112,face_with_mask,5634723.png
1334,1339,4647.png,315,270,373,335,face_with_mask,3154647.png
2149,2160,3648.png,405,96,521,375,face_with_mask_incorrect,4053648.png
5504,432,00478_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00478_Mask_Mouth_Chin.jpg
4990,5007,5663.jpg,1123,75,1685,781,face_no_mask,11235663.jpg
4009,4025,2970.png,558,26,727,270,face_with_mask,5582970.png
373,374,4580.png,315,50,364,117,face_with_mask,3154580.png
2663,2674,4773.png,379,83,539,265,face_with_mask,3794773.png
4843,4860,2611.png,120,4,552,665,face_other_covering,1202611.png
1364,1370,5885.jpg,697,106,841,270,face_no_mask,6975885.jpg
1457,1463,6015.jpg,362,156,416,215,face_no_mask,3626015.jpg
2162,2173,4819.png,580,7,771,250,face_with_mask,5804819.png
5489,417,00463_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00463_Mask_Nose_Mouth.jpg
2193,2204,2489.png,294,255,339,311,face_with_mask,2942489.png
6632,1560,01664_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01664_Mask_Mouth_Chin.jpg
5824,752,00814_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00814_Mask_Mouth_Chin.jpg
425,427,4574.png,135,23,351,277,face_with_mask,1354574.png
6341,1269,01360_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01360_Mask_Mouth_Chin.jpg
4194,4210,4365.png,109,53,194,171,face_with_mask_incorrect,1094365.png
4145,4161,5010.jpg,195,195,259,269,face_with_mask,1955010.jpg
3150,3162,4606.png,296,120,449,324,face_with_mask,2964606.png
3201,3213,3281.png,187,20,431,336,face_with_mask,1873281.png
5221,149,00164_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00164_Mask_Chin.jpg
530,532,5189.jpg,1317,996,2388,2205,face_other_covering,13175189.jpg
138,138,2646.png,165,2,566,515,face_with_mask,1652646.png
1158,1163,3902.png,485,164,599,285,face_with_mask,4853902.png
3381,3394,4062.png,29,17,279,234,face_other_covering,294062.png
4845,4862,4828.png,760,124,932,305,face_with_mask,7604828.png
4471,4487,5167.jpg,393,126,674,420,face_with_mask,3935167.jpg
4204,4220,4354.png,564,17,654,165,face_with_mask,5644354.png
5092,20,00021_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00021_Mask_Mouth_Chin.jpg
1462,1468,5735.jpg,322,25,467,193,face_with_mask,3225735.jpg
5429,357,00392_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00392_Mask_Mouth_Chin.jpg
4981,4998,4558.png,86,8,412,379,face_with_mask,864558.png
4858,4875,3720.png,539,5,1062,553,face_with_mask,5393720.png
5375,303,00332_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00332_Mask_Mouth_Chin.jpg
3473,3488,6039.jpg,266,48,402,225,face_other_covering,2666039.jpg
5618,546,00594_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00594_Mask_Mouth_Chin.jpg
888,893,2250.png,393,4,817,453,face_other_covering,3932250.png
2286,2297,2439.png,327,21,477,204,face_with_mask,3272439.png
6662,1590,01697_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01697_Mask_Mouth_Chin.jpg
5536,464,00511_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00511_Mask_Mouth_Chin.jpg
6507,1435,01536_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01536_Mask_Mouth_Chin.jpg
5906,834,00899_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00899_Mask_Mouth_Chin.jpg
6803,1731,01844_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01844_Mask_Mouth_Chin.jpg
2468,2479,4831.png,765,53,1005,290,face_with_mask,7654831.png
5579,507,00554_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00554_Mask_Mouth_Chin.jpg
6593,1521,01623_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01623_Mask_Mouth_Chin.jpg
3583,3598,5833.jpg,468,1,904,446,face_other_covering,4685833.jpg
4739,4756,6209.jpg,143,40,242,175,face_no_mask,1436209.jpg
5508,436,00482_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00482_Mask_Mouth_Chin.jpg
1562,1568,4465.png,6,7,427,588,face_no_mask,64465.png
4714,4731,2532.png,342,89,391,139,face_with_mask,3422532.png
3782,3798,4086.png,65,167,87,201,face_with_mask,654086.png
6598,1526,01628_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01628_Mask_Mouth_Chin.jpg
643,647,5626.png,204,10,434,331,face_with_mask,2045626.png
3189,3201,2997.png,318,191,354,235,face_no_mask,3182997.png
6464,1392,01492_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01492_Mask_Mouth_Chin.jpg
1388,1394,2938.png,327,31,555,318,face_with_mask,3272938.png
6487,1415,01516_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01516_Mask_Mouth_Chin.jpg
6707,1635,01745_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01745_Mask_Mouth_Chin.jpg
303,303,2751.png,259,94,442,447,face_with_mask,2592751.png
4208,4224,4772.png,236,242,281,305,face_with_mask,2364772.png
4815,4832,2223.png,27,120,215,414,face_with_mask,272223.png
4121,4137,3606.png,179,5,447,440,face_other_covering,1793606.png
3837,3853,2138.jpg,431,61,645,346,face_other_covering,4312138.jpg
5756,684,00744_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00744_Mask_Nose_Mouth.jpg
956,961,5039.jpg,104,3,296,196,face_other_covering,1045039.jpg
6779,1707,01819_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01819_Mask_Mouth_Chin.jpg
2965,2976,2902.png,199,5,692,475,face_with_mask,1992902.png
6339,1267,01358_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01358_Mask_Mouth_Chin.jpg
5649,577,00628_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00628_Mask_Chin.jpg
619,621,3465.png,210,5,448,266,face_with_mask,2103465.png
2895,2906,4211.png,267,109,365,257,face_with_mask,2674211.png
4099,4115,1858.jpg,215,168,390,357,face_with_mask_incorrect,2151858.jpg
2945,2956,2082.jpg,262,21,550,349,face_no_mask,2622082.jpg
4060,4076,6133.jpg,464,119,541,193,face_no_mask,4646133.jpg
2273,2284,3517.png,278,178,521,540,face_with_mask,2783517.png
5692,620,00675_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00675_Mask_Mouth_Chin.jpg
739,744,3799.png,416,55,550,254,face_with_mask,4163799.png
2721,2732,2828.png,3,0,535,331,face_with_mask,32828.png
1075,1080,5251.jpg,371,37,455,164,face_with_mask,3715251.jpg
1375,1381,2670.png,165,57,316,231,face_with_mask,1652670.png
200,200,4329.png,444,0,783,455,face_with_mask,4444329.png
3282,3295,3149.png,382,4,541,139,face_with_mask,3823149.png
5545,473,00520_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00520_Mask_Mouth_Chin.jpg
6287,1215,01305_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01305_Mask_Mouth_Chin.jpg
2939,2950,5401.jpg,876,915,1199,1282,face_with_mask,8765401.jpg
2243,2254,5069.jpg,229,0,497,315,face_with_mask,2295069.jpg
5482,410,00456_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00456_Mask_Mouth_Chin.jpg
5147,75,00086_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00086_Mask_Mouth_Chin.jpg
2349,2360,5698.jpg,85,11,279,275,face_no_mask,855698.jpg
1812,1820,2546.png,323,257,407,359,face_with_mask,3232546.png
5633,561,00612_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00612_Mask_Mouth_Chin.jpg
1689,1696,3349.png,426,177,588,364,face_with_mask,4263349.png
5412,340,00372_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00372_Mask_Mouth_Chin.jpg
1394,1400,2293.png,680,340,759,427,face_with_mask,6802293.png
4052,4068,1840.jpg,1026,187,1217,388,face_with_mask,10261840.jpg
4171,4187,5588.jpg,329,62,593,387,face_other_covering,3295588.jpg
5014,5031,4904.png,489,97,666,337,face_with_mask,4894904.png
5306,234,00257_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00257_Mask_Mouth_Chin.jpg
2330,2341,3088.png,127,6,324,294,face_other_covering,1273088.png
4563,4579,5209.jpg,1437,620,1904,1177,face_with_mask,14375209.jpg
1537,1543,5359.jpg,357,137,557,390,face_other_covering,3575359.jpg
5770,698,00759_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00759_Mask_Mouth_Chin.jpg
5197,125,00140_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00140_Mask_Mouth_Chin.jpg
5992,920,00992_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00992_Mask_Nose_Mouth.jpg
5222,150,00166_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00166_Mask_Mouth_Chin.jpg
848,853,1941.jpg,70,14,122,75,face_with_mask,701941.jpg
2896,2907,5999.jpg,481,99,678,369,face_no_mask,4815999.jpg
6137,1065,01147_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01147_Mask_Mouth_Chin.jpg
5036,5053,4804.png,390,24,763,372,face_with_mask,3904804.png
5326,254,00280_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00280_Mask_Mouth_Chin.jpg
5869,797,00861_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00861_Mask_Mouth_Chin.jpg
6470,1398,01499_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01499_Mask_Mouth_Chin.jpg
4847,4864,4684.png,566,23,783,279,face_other_covering,5664684.png
4341,4357,2204.png,231,16,323,129,face_with_mask,2312204.png
2698,2709,6066.jpg,16,75,168,241,face_no_mask,166066.jpg
3575,3590,5952.png,792,89,894,212,face_no_mask,7925952.png
2229,2240,3077.png,312,3,534,263,face_with_mask,3123077.png
4594,4610,2847.png,319,56,648,428,face_with_mask,3192847.png
6524,1452,01553_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,01553_Mask_Nose_Mouth.jpg
1341,1346,5224.jpg,1221,515,2303,1721,face_with_mask,12215224.jpg
2,2,2097.jpg,601,172,727,349,face_other_covering,6012097.jpg
6893,1821,01936_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01936_Mask_Mouth_Chin.jpg
5258,186,00208_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00208_Mask_Chin.jpg
1734,1742,5660.jpg,484,3,734,367,face_other_covering,4845660.jpg
3267,3280,3500.png,224,3,401,218,face_with_mask,2243500.png
171,171,3801.png,129,229,372,530,face_with_mask,1293801.png
4769,4786,2775.png,385,12,680,411,face_with_mask,3852775.png
5115,43,00047_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00047_Mask_Mouth_Chin.jpg
5195,123,00138_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00138_Mask_Mouth_Chin.jpg
6568,1496,01598_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01598_Mask_Mouth_Chin.jpg
