,name,x1,x2,y1,y2,classname,face_no_mask,face_other_covering,face_with_mask,face_with_mask_incorrect
9311,4329.png,444,0,783,455,face_with_mask,0,0,1,0
4445,3811.png,60,152,106,210,face_with_mask,0,0,1,0
3890,1887.jpg,101,5,655,636,face_with_mask,0,0,1,0
3253,2027.jpg,491,41,1224,855,face_no_mask,1,0,0,0
6058,5639.jpg,209,36,374,280,face_other_covering,0,1,0,1
6204,5978.jpg,188,16,502,377,face_no_mask,1,0,0,0
4219,5509.jpg,408,8,482,106,face_other_covering,0,1,0,1
8577,4280.png,440,18,587,215,face_with_mask,0,0,1,0
9486,4536.png,209,186,367,358,face_with_mask,0,0,1,0
741,5489.jpg,244,23,390,252,face_other_covering,0,1,0,1
5078,3688.png,759,1,923,177,face_with_mask,0,0,1,0
292,3082.png,588,89,645,156,face_with_mask,0,0,1,0
11897,4048.png,277,99,563,448,face_with_mask,0,0,1,0
4393,2272.png,216,84,592,525,face_other_covering,0,1,0,1
9776,6066.jpg,382,52,507,225,face_no_mask,1,0,0,0
6354,3273.png,477,86,633,244,face_other_covering,0,1,0,1
10421,4101.png,6,10,441,395,face_with_mask,0,0,1,0
3496,3408.png,276,33,378,177,face_with_mask,0,0,1,0
9092,5679.jpg,469,102,609,301,face_other_covering,0,1,0,1
2551,2207.png,279,83,342,171,face_other_covering,0,1,0,1
10766,2519.png,360,62,606,366,face_other_covering,0,1,0,1
6740,4826.png,155,123,240,213,face_with_mask,0,0,1,0
4691,4399.png,145,136,231,230,face_with_mask,0,0,1,0
1696,6161.jpg,705,116,995,430,face_no_mask,1,0,0,0
2481,6101.jpg,115,230,327,465,face_no_mask,1,0,0,0
10993,5531.jpg,314,24,386,117,face_other_covering,0,1,0,1
5532,6146.jpg,233,102,390,320,face_no_mask,1,0,0,0
14186,5121.jpg,153,62,226,156,face_with_mask,0,0,1,0
4144,2421.png,163,74,243,171,face_with_mask,0,0,1,0
7140,3469.png,183,1,326,149,face_with_mask,0,0,1,0
5522,2093.jpg,325,40,397,117,face_other_covering,0,1,0,1
13928,1886.jpg,1946,77,3876,1678,face_with_mask,0,0,1,0
10048,4354.png,416,70,495,190,face_other_covering,0,1,0,1
10460,1895.jpg,474,73,566,176,face_with_mask,0,0,1,0
9116,5377.jpg,498,2,1454,1116,face_with_mask,0,0,1,0
8641,3195.png,229,53,312,160,face_other_covering,0,1,0,1
10884,2971.png,584,244,673,357,face_with_mask,0,0,1,0
8584,2273.png,213,38,383,309,face_other_covering,0,1,0,1
12626,2295.png,159,54,305,236,face_with_mask,0,0,1,0
14049,3570.png,419,294,632,489,face_with_mask,0,0,1,0
6934,1835.jpg,491,135,549,204,face_with_mask,0,0,1,0
6269,3953.png,346,191,389,254,face_with_mask,0,0,1,0
4969,4682.png,262,184,291,214,face_with_mask,0,0,1,0
8186,2626.png,602,149,632,192,face_with_mask_incorrect,0,0,0,1
2869,2918.png,84,6,677,534,face_with_mask,0,0,1,0
4656,4465.png,850,9,1244,442,face_with_mask,0,0,1,0
8101,2949.png,225,98,292,170,face_with_mask,0,0,1,0
15035,4141.png,790,136,824,180,face_with_mask,0,0,1,0
3675,1925.jpg,558,51,717,231,face_with_mask,0,0,1,0
265,2492.png,218,63,238,85,face_no_mask,1,0,0,0
15150,4225.png,155,3,496,387,face_with_mask,0,0,1,0
988,4325.png,487,98,515,132,face_no_mask,1,0,0,0
4484,4559.png,163,8,658,428,face_with_mask,0,0,1,0
13837,3644.png,233,79,280,141,face_with_mask,0,0,1,0
13331,3239.png,36,265,98,323,face_other_covering,0,1,0,1
5620,2420.png,301,175,373,235,face_with_mask,0,0,1,0
4345,3934.png,28,50,75,112,face_with_mask,0,0,1,0
9225,4672.png,7,372,222,637,face_other_covering,0,1,0,1
5579,5452.jpg,732,90,1269,842,face_with_mask,0,0,1,0
5727,4778.png,471,174,523,239,face_with_mask,0,0,1,0
12757,5971.jpg,253,46,358,150,face_no_mask,1,0,0,0
15248,3159.png,304,7,541,338,face_with_mask,0,0,1,0
11764,4086.png,323,169,356,208,face_with_mask,0,0,1,0
5876,5175.jpg,842,263,1038,533,face_with_mask,0,0,1,0
3583,4660.png,57,32,114,98,face_with_mask,0,0,1,0
2743,5171.jpg,342,33,400,111,face_with_mask,0,0,1,0
5205,3205.png,97,146,460,671,face_with_mask,0,0,1,0
9948,2304.png,6,4,674,442,face_other_covering,0,1,0,1
9563,3334.png,2,0,72,110,face_no_mask,1,0,0,0
11792,2505.png,421,199,654,531,face_with_mask,0,0,1,0
8623,5365.jpg,94,0,401,323,face_other_covering,0,1,0,1
521,1952.jpg,0,183,155,482,face_other_covering,0,1,0,1
1257,2151.jpg,79,66,200,162,face_with_mask,0,0,1,0
1588,2776.png,165,72,478,400,face_with_mask,0,0,1,0
13355,5389.jpg,253,96,469,356,face_other_covering,0,1,0,1
4423,3181.png,497,23,594,159,face_other_covering,0,1,0,1
11219,4284.png,439,7,863,469,face_with_mask,0,0,1,0
4336,3934.png,592,103,653,182,face_with_mask,0,0,1,0
12161,2157.png,7,3,413,386,face_other_covering,0,1,0,1
6047,4171.png,41,67,157,187,face_with_mask,0,0,1,0
1317,2969.png,354,22,619,354,face_no_mask,1,0,0,0
198,4538.png,192,178,376,446,face_with_mask,0,0,1,0
15189,5717.jpg,418,35,1140,694,face_other_covering,0,1,0,1
8527,4147.png,216,21,469,327,face_with_mask,0,0,1,0
1080,3396.png,93,7,641,610,face_with_mask,0,0,1,0
14986,5307.jpg,259,15,452,267,face_no_mask,1,0,0,0
14210,4508.png,219,51,413,318,face_with_mask,0,0,1,0
9625,5103.jpg,769,43,1562,1115,face_no_mask,1,0,0,0
1380,3766.png,196,104,263,190,face_other_covering,0,1,0,1
12070,5084.jpeg,687,654,899,992,face_no_mask,1,0,0,0
4975,4218.png,161,17,542,618,face_other_covering,0,1,0,1
15044,4006.png,169,317,436,610,face_with_mask,0,0,1,0
2387,6000.jpg,517,259,585,352,face_no_mask,1,0,0,0
3450,3655.png,69,6,403,429,face_no_mask,1,0,0,0
12766,3490.png,57,22,444,510,face_with_mask,0,0,1,0
13445,3304.png,272,39,396,183,face_other_covering,0,1,0,1
364,6363.jpg,454,38,550,151,face_other_covering,0,1,0,1
7202,3399.png,375,4,579,210,face_other_covering,0,1,0,1
8792,3822.png,395,39,472,141,face_no_mask,1,0,0,0
4787,4332.png,40,51,489,577,face_with_mask,0,0,1,0
1675,2952.png,170,13,285,177,face_no_mask,1,0,0,0
12038,6032.jpg,167,4,528,451,face_no_mask,1,0,0,0
13605,1997.jpg,262,180,788,932,face_with_mask,0,0,1,0
9093,2751.png,259,94,442,447,face_with_mask,0,0,1,0
2408,5398.jpg,517,302,619,430,face_no_mask,1,0,0,0
934,2048.jpg,428,291,550,477,face_with_mask,0,0,1,0
5412,6259.jpeg,106,14,417,412,face_no_mask,1,0,0,0
8133,4201.png,385,42,674,420,face_with_mask,0,0,1,0
2850,4420.png,429,6,715,374,face_with_mask,0,0,1,0
6781,2739.png,483,3,530,55,face_with_mask,0,0,1,0
5741,4778.png,1,211,33,262,face_with_mask,0,0,1,0
12134,6376.jpg,304,101,379,208,face_no_mask,1,0,0,0
13611,3558.png,306,4,661,515,face_other_covering,0,1,0,1
6809,3563.png,124,7,366,242,face_with_mask,0,0,1,0
5932,3185.png,284,64,356,160,face_other_covering,0,1,0,1
6176,6289.jpg,236,194,282,253,face_no_mask,1,0,0,0
9332,5688.jpg,449,173,656,402,face_no_mask,1,0,0,0
3766,3265.png,59,166,371,587,face_with_mask,0,0,1,0
3209,5647.jpg,324,2,571,194,face_no_mask,1,0,0,0
15356,6096.jpg,264,53,489,324,face_no_mask,1,0,0,0
8317,2880.png,4,5,212,315,face_with_mask,0,0,1,0
9146,3657.png,116,2,394,441,face_other_covering,0,1,0,1
8428,2284.png,19,70,99,129,face_other_covering,0,1,0,1
5133,1939.jpg,683,227,819,383,face_with_mask,0,0,1,0
10385,4578.png,151,196,433,542,face_with_mask,0,0,1,0
15357,5015.jpg,839,6,1590,872,face_with_mask,0,0,1,0
8036,6267.jpg,464,375,586,538,face_no_mask,1,0,0,0
6967,2601.png,112,5,392,366,face_with_mask,0,0,1,0
3838,4249.png,752,125,840,229,face_with_mask,0,0,1,0
10619,2991.png,233,98,374,281,face_with_mask,0,0,1,0
11655,4573.png,313,6,578,320,face_with_mask,0,0,1,0
7124,6046.jpg,785,82,978,294,face_no_mask,1,0,0,0
9873,2079.jpg,190,227,262,320,face_no_mask,1,0,0,0
4465,5903.jpg,394,57,524,226,face_no_mask,1,0,0,0
14069,5092.jpg,84,105,207,263,face_with_mask,0,0,1,0
1118,4912.png,346,20,503,216,face_with_mask,0,0,1,0
3157,4814.png,825,165,922,289,face_other_covering,0,1,0,1
14117,2861.png,193,3,562,517,face_with_mask,0,0,1,0
13927,6334.jpg,762,33,1026,397,face_no_mask,1,0,0,0
14835,1803.jpg,126,75,303,333,face_with_mask,0,0,1,0
12951,1947.jpg,914,172,1032,310,face_with_mask,0,0,1,0
4730,2744.png,538,150,624,266,face_with_mask,0,0,1,0
14436,3196.png,126,170,203,265,face_with_mask,0,0,1,0
8324,4938.png,597,5,800,178,face_no_mask,1,0,0,0
1985,5957.jpg,107,64,227,197,face_other_covering,0,1,0,1
4550,6204.jpg,2262,957,2425,1164,face_no_mask,1,0,0,0
4750,4138.png,241,121,340,270,face_with_mask,0,0,1,0
341,6102.jpg,26,96,71,177,face_no_mask,1,0,0,0
1528,5553.jpg,345,19,574,350,face_other_covering,0,1,0,1
2992,4718.png,212,190,281,256,face_no_mask,1,0,0,0
13677,3958.png,109,101,443,518,face_with_mask,0,0,1,0
6814,3930.png,38,6,549,558,face_with_mask,0,0,1,0
6633,5474.jpg,501,669,1992,2795,face_no_mask,1,0,0,0
6780,2739.png,548,0,599,47,face_with_mask,0,0,1,0
4173,5942.jpg,644,208,817,447,face_no_mask,1,0,0,0
10607,3268.png,339,143,382,210,face_with_mask,0,0,1,0
164,5394.jpg,332,57,679,562,face_other_covering,0,1,0,1
14696,6270.jpg,393,383,500,518,face_no_mask,1,0,0,0
11964,4888.png,308,14,601,400,face_with_mask,0,0,1,0
14511,3333.png,100,64,404,490,face_with_mask,0,0,1,0
14321,6288.jpg,689,128,722,167,face_no_mask,1,0,0,0
3061,6290.jpg,283,130,448,366,face_with_mask_incorrect,0,0,0,1
4842,2615.png,383,94,495,276,face_with_mask,0,0,1,0
13727,2997.png,188,174,238,237,face_with_mask,0,0,1,0
1121,4301.png,323,137,547,470,face_with_mask,0,0,1,0
4359,2900.png,359,5,579,247,face_with_mask,0,0,1,0
3941,2494.png,358,57,543,328,face_with_mask,0,0,1,0
5533,3391.png,266,49,524,335,face_with_mask,0,0,1,0
731,5155.jpg,373,0,497,182,face_with_mask,0,0,1,0
7918,3259.png,244,53,358,209,face_other_covering,0,1,0,1
10124,6100.jpg,2377,612,2602,875,face_no_mask,1,0,0,0
15350,5107.jpg,936,351,1053,491,face_with_mask,0,0,1,0
11819,4506.png,103,15,411,465,face_with_mask,0,0,1,0
12417,4896.png,148,24,199,91,face_no_mask,1,0,0,0
6661,4580.png,315,50,364,117,face_with_mask,0,0,1,0
7090,5151.jpg,412,156,432,185,face_with_mask,0,0,1,0
1125,3727.png,274,151,349,243,face_with_mask,0,0,1,0
4640,3246.png,96,172,173,258,face_with_mask,0,0,1,0
9445,2832.png,2,80,140,320,face_no_mask,1,0,0,0
13135,4250.png,100,21,200,161,face_with_mask,0,0,1,0
8473,2183.png,795,18,1026,281,face_with_mask,0,0,1,0
7306,4074.png,215,59,247,106,face_with_mask,0,0,1,0
4215,6159.jpg,369,20,561,240,face_no_mask,1,0,0,0
9613,5455.jpg,541,135,1071,784,face_other_covering,0,1,0,1
13736,3016.png,296,282,371,375,face_with_mask,0,0,1,0
4007,3841.png,605,6,648,64,face_no_mask,1,0,0,0
5009,4219.png,333,80,388,162,face_with_mask,0,0,1,0
9019,6060.jpg,146,253,291,409,face_no_mask,1,0,0,0
8059,2989.png,216,2,529,499,face_with_mask,0,0,1,0
46,3939.png,352,101,409,173,face_no_mask,1,0,0,0
267,2492.png,349,80,387,126,face_with_mask,0,0,1,0
3109,2422.png,297,99,338,148,face_with_mask,0,0,1,0
6890,5138.jpg,476,156,874,632,face_with_mask,0,0,1,0
4917,2636.png,336,34,568,340,face_no_mask,1,0,0,0
11999,6211.jpg,990,92,1092,232,face_no_mask,1,0,0,0
13059,2141.jpg,490,79,653,262,face_with_mask,0,0,1,0
1090,2935.png,11,125,144,227,face_other_covering,0,1,0,1
8138,2428.png,34,119,322,476,face_with_mask,0,0,1,0
4508,2563.png,276,169,406,333,face_with_mask,0,0,1,0
2374,2515.png,101,40,251,266,face_with_mask,0,0,1,0
9517,2081.jpg,217,721,756,1443,face_with_mask,0,0,1,0
7040,5230.jpg,348,16,558,257,face_other_covering,0,1,0,1
8312,2529.png,180,7,491,358,face_other_covering,0,1,0,1
7538,5289.jpg,346,98,543,332,face_other_covering,0,1,0,1
8053,5153.jpg,73,0,181,72,face_with_mask,0,0,1,0
8378,2908.png,387,2,497,151,face_with_mask,0,0,1,0
15368,4311.png,251,23,525,427,face_with_mask,0,0,1,0
4993,4219.png,127,126,178,197,face_with_mask,0,0,1,0
530,5098.jpeg,316,70,341,105,face_with_mask,0,0,1,0
10428,6020.jpeg,186,10,548,461,face_no_mask,1,0,0,0
3387,4936.png,379,14,474,153,face_with_mask,0,0,1,0
438,6369.jpg,296,433,369,502,face_no_mask,1,0,0,0
5182,1878.jpg,759,1336,3234,4226,face_other_covering,0,1,0,1
7125,3627.png,124,50,362,344,face_with_mask,0,0,1,0
3595,4660.png,465,87,496,124,face_with_mask,0,0,1,0
13029,2584.png,203,3,623,478,face_with_mask,0,0,1,0
9717,3725.png,257,62,306,115,face_with_mask,0,0,1,0
4694,2415.png,170,60,391,288,face_other_covering,0,1,0,1
14140,4952.png,905,0,1055,181,face_with_mask,0,0,1,0
7865,2230.png,179,341,234,420,face_with_mask,0,0,1,0
10308,3684.png,412,210,433,240,face_no_mask,1,0,0,0
13210,6077.jpg,618,278,898,532,face_no_mask,1,0,0,0
11037,4349.png,135,25,408,444,face_with_mask,0,0,1,0
14568,6316.jpg,192,256,237,314,face_no_mask,1,0,0,0
4112,3623.png,131,51,260,214,face_other_covering,0,1,0,1
3539,5676.jpg,625,12,1355,1120,face_other_covering,0,1,0,1
7599,5359.jpg,558,104,775,382,face_other_covering,0,1,0,1
15005,4574.png,135,23,351,277,face_with_mask,0,0,1,0
1029,4134.png,295,85,347,159,face_with_mask,0,0,1,0
14950,3961.png,672,9,900,199,face_with_mask,0,0,1,0
4576,4361.png,184,52,455,380,face_with_mask,0,0,1,0
14700,6268.jpg,150,226,442,625,face_other_covering,0,1,0,1
14801,4279.png,254,97,520,503,face_with_mask,0,0,1,0
3326,2290.png,243,127,300,197,face_with_mask,0,0,1,0
9777,6252.jpg,435,153,508,240,face_no_mask,1,0,0,0
